id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
16803,2003-01-11T00:00:00.000Z,87,4,False,2002,Final, ,80,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
16804,2003-01-12T00:00:00.000Z,107,4,False,2002,Final, ,99,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
16805,2003-01-13T00:00:00.000Z,101,4,False,2002,Final, ,92,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
16806,2003-01-14T00:00:00.000Z,88,4,False,2002,Final, ,85,16,MIA,Miami,East,Southeast,Miami Heat,Heat,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
16807,2003-01-15T00:00:00.000Z,104,4,False,2002,Final, ,81,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,16,MIA,Miami,East,Southeast,Miami Heat,Heat
16808,2003-01-17T00:00:00.000Z,106,4,False,2002,Final, ,93,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
16809,2003-01-18T00:00:00.000Z,112,4,False,2002,Final, ,107,13,LAC,LA,West,Pacific,LA Clippers,Clippers,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
16810,2003-01-20T00:00:00.000Z,87,4,False,2002,Final, ,82,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
16811,2003-01-22T00:00:00.000Z,110,4,False,2002,Final, ,112,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
16812,2003-01-24T00:00:00.000Z,104,4,False,2002,Final, ,97,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
16813,2003-01-25T00:00:00.000Z,89,4,False,2002,Final, ,97,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
16814,2003-01-26T00:00:00.000Z,93,4,False,2002,Final, ,100,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
16815,2003-01-27T00:00:00.000Z,95,4,False,2002,Final, ,102,16,MIA,Miami,East,Southeast,Miami Heat,Heat,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
16816,2003-01-28T00:00:00.000Z,91,4,False,2002,Final, ,88,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
16817,2003-01-29T00:00:00.000Z,97,4,False,2002,Final, ,106,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
16818,2003-01-31T00:00:00.000Z,102,4,False,2002,Final, ,94,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
16819,2003-02-01T00:00:00.000Z,122,4,False,2002,Final, ,100,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
16820,2003-02-02T00:00:00.000Z,93,4,False,2002,Final, ,78,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
16821,2003-02-03T00:00:00.000Z,103,4,False,2002,Final, ,96,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
16822,2003-02-04T00:00:00.000Z,103,4,False,2002,Final, ,89,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
16823,2003-02-05T00:00:00.000Z,89,4,False,2002,Final, ,80,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,13,LAC,LA,West,Pacific,LA Clippers,Clippers
16824,2003-02-06T00:00:00.000Z,74,4,False,2002,Final, ,83,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
16825,2003-02-11T00:00:00.000Z,107,4,False,2002,Final, ,96,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
16826,2003-02-11T00:00:00.000Z,113,4,False,2002,Final, ,116,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
16827,2003-02-11T00:00:00.000Z,106,4,False,2002,Final, ,107,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,13,LAC,LA,West,Pacific,LA Clippers,Clippers
16828,2003-02-12T00:00:00.000Z,76,4,False,2002,Final, ,106,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
16829,2003-02-14T00:00:00.000Z,103,4,False,2002,Final, ,110,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
16830,2003-02-16T00:00:00.000Z,100,4,False,2002,Final, ,92,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
16831,2003-02-18T00:00:00.000Z,108,4,False,2002,Final, ,103,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
16832,2003-02-19T00:00:00.000Z,89,4,False,2002,Final, ,107,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
16833,2003-02-21T00:00:00.000Z,85,4,False,2002,Final, ,100,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
16932,2003-01-04T00:00:00.000Z,107,4,False,2002,Final, ,104,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
16933,2003-01-05T00:00:00.000Z,84,4,False,2002,Final, ,99,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
16934,2003-01-06T00:00:00.000Z,95,4,False,2002,Final, ,100,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
16935,2003-01-08T00:00:00.000Z,99,4,False,2002,Final, ,117,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
16936,2003-01-10T00:00:00.000Z,99,4,False,2002,Final, ,101,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
16937,2003-01-11T00:00:00.000Z,87,4,False,2002,Final, ,85,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
16938,2003-01-12T00:00:00.000Z,105,4,False,2002,Final, ,91,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
16939,2003-01-15T00:00:00.000Z,123,4,False,2002,Final, ,94,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
16940,2003-01-17T00:00:00.000Z,97,4,False,2002,Final, ,80,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
16941,2003-01-18T00:00:00.000Z,98,4,False,2002,Final, ,104,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
16942,2003-01-20T00:00:00.000Z,80,4,False,2002,Final, ,102,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
16943,2003-01-22T00:00:00.000Z,96,4,False,2002,Final, ,91,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
16944,2003-01-24T00:00:00.000Z,115,4,False,2002,Final, ,104,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
16945,2003-01-25T00:00:00.000Z,101,4,False,2002,Final, ,102,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
16946,2003-01-26T00:00:00.000Z,101,4,False,2002,Final, ,97,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
16947,2003-01-27T00:00:00.000Z,95,4,False,2002,Final, ,100,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
16948,2003-01-28T00:00:00.000Z,103,4,False,2002,Final, ,98,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
16949,2003-01-29T00:00:00.000Z,82,4,False,2002,Final, ,80,16,MIA,Miami,East,Southeast,Miami Heat,Heat,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
16950,2003-01-31T00:00:00.000Z,121,4,False,2002,Final, ,101,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
16951,2003-01-31T00:00:00.000Z,113,4,False,2002,Final, ,124,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
16952,2003-02-01T00:00:00.000Z,106,4,False,2002,Final, ,84,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
16953,2003-02-04T00:00:00.000Z,102,4,False,2002,Final, ,100,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
16954,2003-02-05T00:00:00.000Z,85,4,False,2002,Final, ,111,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
